0, 0
1, 785
2, 1570
3, 2354
4, 3136
5, 3917
6, 4695
7, 5470
8, 6242
9, 7011
10, 7775
11, 8534
12, 9289
13, 10037
14, 10780
15, 11516
16, 12245
17, 12967
18, 13681
19, 14387
20, 15084
21, 15772
22, 16451
23, 17119
24, 17778
25, 18425
26, 19062
27, 19687
28, 20300
29, 20901
30, 21489
31, 22065
32, 22627
33, 23175
34, 23710
35, 24230
36, 24736
37, 25227
38, 25702
39, 26162
40, 26607
41, 27035
42, 27447
43, 27842
44, 28221
45, 28583
46, 28927
47, 29254
48, 29564
49, 29855
50, 30129
51, 30384
52, 30622
53, 30840
54, 31041
55, 31222
56, 31385
57, 31528
58, 31653
59, 31759
60, 31845
61, 31913
62, 31961
63, 31990
64, 32000
65, 31990
66, 31961
67, 31913
68, 31845
69, 31759
70, 31653
71, 31528
72, 31385
73, 31222
74, 31041
75, 30840
76, 30622
77, 30384
78, 30129
79, 29855
80, 29564
81, 29254
82, 28927
83, 28583
84, 28221
85, 27842
86, 27447
87, 27035
88, 26607
89, 26162
90, 25702
91, 25227
92, 24736
93, 24230
94, 23710
95, 23175
96, 22627
97, 22065
98, 21489
99, 20901
100, 20300
101, 19687
102, 19062
103, 18425
104, 17778
105, 17119
106, 16451
107, 15772
108, 15084
109, 14387
110, 13681
111, 12967
112, 12245
113, 11516
114, 10780
115, 10037
116, 9289
117, 8534
118, 7775
119, 7011
120, 6242
121, 5470
122, 4695
123, 3917
124, 3136
125, 2354
126, 1570
127, 785
128, 0
129, -785
130, -1570
131, -2354
132, -3136
133, -3917
134, -4695
135, -5470
136, -6242
137, -7011
138, -7775
139, -8534
140, -9289
141, -10037
142, -10780
143, -11516
144, -12245
145, -12967
146, -13681
147, -14387
148, -15084
149, -15772
150, -16451
151, -17119
152, -17778
153, -18425
154, -19062
155, -19687
156, -20300
157, -20901
158, -21489
159, -22065
160, -22627
161, -23175
162, -23710
163, -24230
164, -24736
165, -25227
166, -25702
167, -26162
168, -26607
169, -27035
170, -27447
171, -27842
172, -28221
173, -28583
174, -28927
175, -29254
176, -29564
177, -29855
178, -30129
179, -30384
180, -30622
181, -30840
182, -31041
183, -31222
184, -31385
185, -31528
186, -31653
187, -31759
188, -31845
189, -31913
190, -31961
191, -31990
192, -32000
193, -31990
194, -31961
195, -31913
196, -31845
197, -31759
198, -31653
199, -31528
200, -31385
201, -31222
202, -31041
203, -30840
204, -30622
205, -30384
206, -30129
207, -29855
208, -29564
209, -29254
210, -28927
211, -28583
212, -28221
213, -27842
214, -27447
215, -27035
216, -26607
217, -26162
218, -25702
219, -25227
220, -24736
221, -24230
222, -23710
223, -23175
224, -22627
225, -22065
226, -21489
227, -20901
228, -20300
229, -19687
230, -19062
231, -18425
232, -17778
233, -17119
234, -16451
235, -15772
236, -15084
237, -14387
238, -13681
239, -12967
240, -12245
241, -11516
242, -10780
243, -10037
244, -9289
245, -8534
246, -7775
247, -7011
248, -6242
249, -5470
250, -4695
251, -3917
252, -3136
253, -2354
254, -1570
255, -785
