15, 3891, 372, 58
31, -3754, -1642, 6
47, -3128, 2045, 36
63, 1559, -2908, 25
79, 3256, 5196, 48
95, -4423, -4341, 31
111, -1056, -307, 60
127, 768, -4909, 192
143, 5033, -323, 194
159, 7994, 3696, 429
175, 1565, -1693, 611
191, -1248, -1772, 582
207, 3863, -5861, 1373
223, 5146, -608, 2095
239, 2459, 1432, 2349
255, -5596, 57, 1527
271, -6848, 6156, 454
287, -5462, -5140, 486
303, -2620, -609, 482
319, -3937, -6910, 1270
335, -7205, -3354, 2112
351, -4743, 2939, 2103
367, 9748, 986, 1253
383, 1319, 2946, 852
399, 706, -10128, 2351
415, -2270, -1070, 2624
431, 1889, 2717, 2060
447, 3056, -405, 2095
463, -4284, 5216, 1337
479, 1809, 240, 1257
495, 797, -1064, 1395
511, -5502, 801, 1468
527, 1497, 3599, 943
543, -4997, 34, 1252
559, -1206, -511, 1414
575, -1336, 2147, 1313
591, 7194, 4898, 389
607, 2781, 281, 273
623, -981, 1213, 234
639, 1633, 2792, 81
655, 3112, 5260, 9
671, -2920, 13, 31
687, 1515, 2310, 58
703, -2911, -9238, 169
719, 902, -4055, 377
735, 693, 217, 348
751, 1375, -2154, 502
767, 3797, 6836, 113
783, 680, 268, 121
799, 2326, -2134, 294
815, -3207, 1368, 127
831, -1658, 4636, 5
847, 3370, -1042, 83
863, -2660, 4865, 55
879, -996, -870, 25
895, -670, -1611, 2
911, 1433, -3351, 32
927, -579, 1308, 8
943, -1264, 9930, 293
959, -1953, -1079, 244
975, 3993, -3434, 80
991, -1088, 1253, 117
1007, -1288, 115, 121
1023, -2500, 1904, 253
1039, 7115, 1815, 393
1055, 4491, -1071, 534
1071, 3617, -2765, 673
1087, -4564, -167, 324
1103, 802, -3946, 272
1119, -1200, -2789, 201
1135, 4066, 3697, 498
1151, 8393, -1726, 1465
1167, 4244, -6751, 2312
1183, 6643, -7044, 4210
1199, 3365, -270, 5063
1215, -2197, -3545, 4927
1231, -776, 1728, 4529
1247, 5254, 4938, 5387
1263, -6603, 2041, 3588
1279, -106, -6654, 4156
1295, -1398, -5771, 4637
1311, 5854, 2803, 5605
1327, 1109, 5337, 5274
1343, -3403, 929, 4324
1359, 4635, -3914, 5930
1375, -7524, 2283, 3815
1391, -2917, -6600, 4046
1407, -1342, -6572, 4953
1423, -4146, -6044, 5607
1439, -1222, 4623, 4357
1455, 4980, 3392, 4497
1471, 2207, -2482, 5409
1487, 2410, 624, 5786
1503, -2271, -2025, 5733
1519, -3671, -741, 5208
1535, 3750, -183, 5952
1551, 1026, -2186, 5450
1567, 387, 1748, 5733
1583, -1260, 5075, 6680
1599, -4427, 5153, 3284
1615, -1479, 7442, 2377
1631, 1565, -1880, 3376
1647, 2299, 583, 4276
1663, -1604, 2615, 3170
1679, -7180, -3080, 504
1695, 5671, -3287, 458
1711, 4057, -3992, 522
1727, 6030, 4370, 480
1743, 4526, 470, 492
1759, 621, -2115, 245
1775, 5512, -6765, 24
1791, -5471, -1846, 121
1807, -529, 6795, 2675
1823, 5085, 6243, 4368
1839, 5450, 1408, 5984
1855, -1397, 622, 10141
1871, 960, -911, 23367
1887, -1432, -394, 19683
1903, -3664, -6124, 7767
1919, 3435, -5367, 8254
1935, 6406, 2092, 14738
1951, 2111, 741, 28616
1967, -1579, 1151, 26077
1983, -4635, -3668, 17934
1999, -4198, 1545, 24925
2015, 673, 878, 29690
2031, 2887, 3459, 33467
2047, -10519, 2115, 26242
2063, -3036, -1152, 11698
2079, -3146, -5952, 13825
2095, 3755, 7930, 16937
2111, 1620, -5895, 16280
2127, -2316, 1508, 12431
2143, 2893, 123, 6996
2159, 1418, 1867, 12295
2175, -2025, 2959, 7969
2191, 4272, 3917, 12567
2207, 6895, 6595, 12261
2223, 4335, -3247, 12204
2239, 2196, -784, 9658
2255, 1339, 6214, 2043
2271, -783, 91, 878
2287, 2716, -319, 524
2303, 4163, 3996, 222
2319, -3747, -1914, 3026
2335, -4625, 30, 444
2351, 3266, -1972, 1096
2367, -116, -2402, 3095
2383, 2551, -6754, 15761
2399, 1079, -820, 19851
2415, 8194, 1023, 13187
2431, -3459, -2056, 13358
2447, -3395, -1584, 20451
2463, 2848, 2355, 33756
2479, 2502, 246, 34117
2495, 6443, 1197, 30570
2511, -1256, -641, 39813
2527, -4164, -1052, 45619
2543, -3820, -1356, 49782
2559, 1915, 8241, 59295
2575, -607, 3960, 28454
2591, 7907, 5907, 35811
2607, 1663, -3513, 29789
2623, 4716, -6241, 32570
2639, -1406, 4345, 18905
2655, -999, -3068, 9413
2671, 3350, -1674, 18165
2687, -4355, 876, 6732
2703, -5630, 3907, 4818
2719, -8506, 3205, 4108
2735, -1275, 1706, 5238
2751, 1902, 2786, 5632
2767, -3395, 2385, 15491
2783, 1785, -2464, 18166
2799, 5234, -1594, 12692
2815, 1346, 7967, 21160
2831, 6922, -4108, 13584
2847, 1862, -2698, 15003
2863, -3698, 1858, 9247
2879, -5644, -2516, 8342
2895, -3439, -1514, 20753
2911, -8249, -2069, 7573
2927, -2799, 1988, 15165
2943, 4884, -1381, 21749
2959, -2798, -1969, 52931
2975, 5459, -2943, 64521
2991, 4876, -2101, 54527
3007, 2185, -826, 35620
3023, -5094, -301, 32885
3039, -7831, 3207, 47098
3055, 3797, 3451, 54114
3071, -3617, 4854, 55129
3087, -151, 3723, 28338
3103, -2845, 2171, 29066
3119, 1411, -7718, 22772
3135, 4738, 1101, 26478
3151, 1352, 2900, 24343
3167, -2031, 1128, 4697
3183, 5203, 3754, 8315
3199, 4431, 3315, 7959
3215, -2098, 10203, 13749
3231, 2550, 4566, 1787
3247, 1100, 1296, 1279
3263, 4822, 1178, 2577
3279, -1538, 840, 4908
3295, -210, -809, 4797
3311, 1397, -6795, 7096
3327, -2949, -652, 11193
3343, -6045, 5062, 11811
3359, -4957, 3065, 17557
3375, 4503, -1716, 10636
3391, 8352, 2320, 13671
3407, -5293, -3247, 25675
3423, -670, 3541, 8574
3439, -182, -742, 21638
3455, 1833, 8691, 63393
3471, -4242, 5079, 74470
3487, -2164, -402, 36678
3503, -3464, 3982, 19896
3519, -727, 3749, 23145
3535, -3118, 4413, 32437
3551, -381, 6339, 43083
3567, -2894, -739, 26306
3583, -2944, -1094, 22964
3599, -1853, 3696, 21183
3615, -2985, 1268, 55790
3631, -2622, 215, 52236
3647, -4034, -2864, 76631
3663, 3453, -9581, 82999
3679, 4743, -6262, 79652
3695, 3478, -4799, 24015
3711, 49, -5523, 6322
3727, 5145, -2311, 11984
3743, 5303, 2153, 14409
3759, -3228, -2787, 34738
3775, -9164, 1764, 34260
3791, 5472, -2183, 15293
3807, 1463, -185, 19267
3823, -3462, 2321, 33554
3839, -477, 980, 45270
3855, -2059, 1190, 30146
3871, 1130, -28, 18024
3887, 5367, 1454, 27420
3903, 1336, -1191, 21706
3919, -8278, -6765, 57053
3935, 2279, -269, 39700
3951, 1295, 4507, 52313
3967, -1840, -4573, 59739
3983, -4718, -8430, 42695
3999, -1548, -144, 19806
4015, 5474, 5227, 7723
4031, -149, 1780, 20112
4047, 1572, 5257, 34376
4063, 264, -3992, 50440
4079, -1680, -7898, 49356
4095, 6007, -4900, 26249
4111, 1085, -6500, 16435
4127, -2326, -788, 12702
4143, 869, -2794, 13754
4159, 276, -2041, 5745
4175, 3984, -2622, 16563
4191, 1224, 1651, 6872
4207, 1865, -5074, 19500
4223, -4601, -3197, 44842
4239, 5751, -7904, 91145
4255, -343, 513, 91006
4271, -2479, 2518, 82499
4287, 3899, 2810, 103406
4303, 5061, -3178, 95439
4319, -678, -166, 89975
4335, -6579, -6968, 74367
4351, 2444, -6452, 85091
4367, 3347, -4906, 94409
4383, -1200, 751, 94221
4399, -2132, 3422, 76087
4415, -2064, 1670, 62189
4431, -959, 2525, 24846
4447, -4867, 2158, 10811
4463, 1512, 4732, 7554
4479, 1836, -4487, 7683
4495, 7749, -2617, 21838
4511, 403, -229, 61219
4527, 3802, 2725, 62242
4543, 6541, 657, 52103
4559, 6039, -3154, 42965
4575, 2923, -3599, 24399
4591, -1130, -3776, 3247
4607, 1638, -5826, 3256
4623, -5018, -3519, 10550
4639, -6514, -5137, 6963
4655, 5583, 1302, 5104
4671, 3333, 3252, 8068
4687, -376, -1681, 8914
4703, -4310, 9289, 5493
4719, 5120, 2121, 1873
4735, -2101, 1261, 1236
4751, -2651, 5340, 6798
4767, 6558, 2033, 34357
4783, 7649, 2942, 30907
4799, -2722, -8703, 24480
4815, 4573, -2231, 62046
4831, -923, 6315, 37489
4847, -3124, -3036, 17250
4863, -2977, -590, 8398
4879, -819, 2330, 1846
4895, 10612, 3534, 4159
4911, 3261, 2454, 11830
4927, 6788, 923, 39992
4943, 991, -3653, 35863
4959, 5555, -4594, 40182
4975, -952, 2170, 47224
4991, 6044, -1523, 60569
5007, 6657, -2586, 98010
5023, 2852, 1545, 79151
5039, -2474, 3438, 72960
5055, -6367, -1670, 65991
5071, -3456, 890, 42318
5087, 2587, 2151, 81253
5103, -1611, -910, 79050
5119, -4660, -3014, 92262
5135, 1916, 593, 123101
5151, 9066, 6627, 112441
5167, 1682, 847, 95976
5183, 1772, 1491, 83511
5199, 5679, 2175, 92681
5215, -3391, 1443, 62529
5231, -5903, 3472, 40866
5247, -4930, -6329, 32198
5263, -2812, 3366, 26270
5279, 1436, 5646, 34100
5295, 2073, 313, 53501
5311, -2309, -3597, 90133
5327, 4916, 2492, 80406
5343, 152, 8048, 42710
5359, 6323, -2385, 37305
5375, -3998, -442, 45466
5391, -4843, 4620, 26065
5407, 2502, -692, 26891
5423, 4609, 1378, 21127
5439, -919, -752, 11495
5455, 3211, -2526, 33169
5471, 1265, 1029, 49987
5487, 6456, 1743, 79597
5503, 3078, 1142, 54210
5519, 3223, 5218, 38366
5535, -4808, 6471, 16513
5551, -3269, 6708, 10201
5567, 9995, -1257, 21473
5583, 6949, -4951, 20003
5599, 737, -6129, 16493
5615, 7775, -2793, 34912
5631, 4212, -4014, 25082
5647, -6179, -1576, 55557
5663, -1509, -2729, 88090
5679, 775, 6752, 122637
5695, -4247, 6375, 144085
5711, -239, -11, 108892
5727, -2555, 466, 83893
5743, -2185, -1338, 61264
5759, -5622, -3583, 84573
5775, 1597, 242, 102440
5791, 4428, -2360, 95773
5807, -994, -1792, 103943
5823, 158, -3093, 58723
5839, -1911, -3354, 42042
5855, 1175, 5894, 75624
5871, -1338, -1998, 124303
5887, 1270, -1095, 82649
5903, 4790, -255, 62611
5919, 2623, -763, 31570
5935, -2877, -2011, 23411
5951, 3231, -2781, 4592
5967, -911, -4474, 15683
5983, -328, 1190, 10580
5999, 2301, 176, 34825
6015, 580, -3906, 52456
6031, 4521, -578, 105481
6047, -655, 2976, 116280
6063, -1280, -975, 118218
6079, 7577, -4017, 124686
6095, -1869, 3928, 120526
6111, -4660, 7602, 92448
6127, -1422, 173, 53708
6143, -5249, -51, 48455
6159, 2571, 4253, 30799
6175, -2876, -1935, 15268
6191, -137, 293, 23304
