SampleIdx,Signal_I,Strobe_Center,Strobe_Joint
334,12094,0,0
335,-11853,0,0
336,-22475,0,0
337,7695,0,0
338,-21815,0,0
339,6027,0,0
340,-183,0,0
341,-12265,0,0
342,11911,0,0
343,15471,0,0
344,12871,0,0
345,-22790,0,0
346,442,0,0
347,10324,0,0
348,-17108,0,0
349,2270,0,0
350,8491,0,0
351,3377,0,0
352,-11911,0,0
353,-18490,0,0
354,-9754,0,0
355,-7624,0,0
356,-239,0,0
357,-20159,0,0
358,13046,0,0
359,-13341,0,0
360,16841,0,0
361,-14041,0,0
362,11779,0,0
363,4813,0,0
364,-7264,0,0
365,-1201,0,0
366,-11991,0,0
367,4524,0,0
368,17622,0,0
369,17706,0,0
370,-21405,0,0
371,-4171,0,0
372,-1842,0,0
373,19794,0,0
374,-14012,0,0
375,2445,0,0
376,1040,0,0
377,14351,0,0
378,-8686,0,0
379,4005,0,0
380,15075,0,0
381,23105,0,0
382,2709,0,0
383,22827,0,0
384,-18523,15000,0
385,-13447,0,0
386,6454,0,0
387,-21617,0,0
388,17128,0,0
389,-394,0,0
390,11934,0,0
391,7453,0,0
392,-3961,0,0
393,-16785,0,0
394,-6955,0,0
395,496,0,0
396,-12430,0,0
397,16382,0,0
398,-3046,0,0
399,7117,0,0
400,-11733,0,0
401,-12090,0,0
402,7037,0,0
403,-17548,0,0
404,8445,0,0
405,-5139,0,0
406,337,0,0
407,21616,0,0
408,7320,0,0
409,-4719,0,0
410,-10935,0,0
411,8731,0,0
412,5848,0,0
413,-3762,0,0
414,-17536,0,0
415,-23162,0,0
416,-13817,0,0
417,23140,0,0
418,-12942,0,0
419,-16898,0,0
420,-17116,0,0
421,-21118,0,0
422,-1121,0,0
423,-9829,0,0
424,2022,0,0
425,-3822,0,0
426,-13094,0,0
427,3840,0,0
428,-5185,0,0
429,-6073,0,0
430,-12713,0,0
431,-18266,0,0
432,8860,0,0
433,9188,0,0
434,14423,0,0
435,16412,0,0
436,7656,0,0
437,1806,0,0
438,14819,0,0
439,-7689,0,0
440,-22454,0,0
441,14856,0,0
442,3038,0,0
443,4564,0,0
444,-9568,0,0
445,5007,0,0
446,20158,0,0
447,-12356,0,0
448,18740,0,0
449,6717,0,0
450,-15560,0,0
451,-11320,0,0
452,13201,0,0
453,-15009,0,0
454,7246,0,0
455,22134,0,0
456,-5027,0,0
457,9366,0,0
458,-12052,0,0
459,-366,0,0
460,-5274,0,0
461,8749,0,0
462,-7946,0,0
463,-6916,0,0
464,23140,0,0
465,16382,0,0
466,20183,0,0
467,-155,0,0
468,-4330,0,0
469,2410,0,0
470,-30,0,0
471,-19393,0,0
472,-15876,0,0
473,-10134,0,0
474,-336,0,0
475,11917,0,0
476,-2683,0,0
477,-10268,0,0
478,-21815,0,0
479,-15250,0,0
480,-3037,0,0
481,10108,0,0
482,-606,0,0
483,-6727,0,0
484,9233,0,0
485,-8748,0,0
486,-1883,0,0
487,-7985,0,0
488,-8823,0,0
489,-3704,0,0
490,4660,0,0
491,-15109,0,0
492,9813,0,0
493,-19843,0,0
494,-16741,0,0
495,2049,0,0
496,1391,0,0
497,12890,0,0
498,-6989,0,0
499,8023,0,0
500,1456,0,0
501,2250,0,0
502,1162,0,0
503,-21617,0,0
504,14399,0,0
505,20926,0,0
506,-14040,0,0
507,20158,0,0
508,-14561,0,0
509,14808,0,0
510,8703,0,0
511,-11566,0,0
512,-9810,0,-15000
513,-7284,0,0
514,-11736,0,0
515,-14738,0,0
516,20813,0,0
517,14298,0,0
518,16360,0,0
519,16679,0,0
520,-9653,0,0
521,11021,0,0
522,15357,0,0
523,3705,0,0
524,1382,0,0
525,13610,0,0
526,-17660,0,0
527,18886,0,0
528,-6352,0,0
529,5656,0,0
530,6770,0,0
531,9824,0,0
532,16540,0,0
533,5912,0,0
534,16751,0,0
535,9178,0,0
536,-1880,0,0
537,5226,0,0
538,2327,0,0
539,-3044,0,0
540,-116,0,0
541,-9447,0,0
542,5093,0,0
543,4742,0,0
544,-3384,0,0
545,8697,0,0
546,-1680,0,0
547,863,0,0
548,4791,0,0
549,14697,0,0
550,4919,0,0
551,-14848,0,0
552,-13591,0,0
553,7170,0,0
554,-2753,0,0
555,3165,0,0
556,-18375,0,0
557,3313,0,0
558,7102,0,0
559,-19123,0,0
560,-9079,0,0
561,14832,0,0
562,-11928,0,0
563,11386,0,0
564,15601,0,0
565,9216,0,0
566,-6018,0,0
567,23161,0,0
568,-16374,0,0
569,1189,0,0
570,-13199,0,0
571,-5195,0,0
572,-15486,0,0
573,-21338,0,0
574,-8867,0,0
575,-20945,0,0
576,1403,0,0
577,19872,0,0
578,-17067,0,0
579,-11537,0,0
580,-13771,0,0
581,9948,0,0
582,-13787,0,0
583,-12149,0,0
584,-21866,0,0
585,-14257,0,0
586,1733,0,0
587,-10570,0,0
588,3213,0,0
589,-10951,0,0
590,-19954,0,0
591,22329,0,0
592,-17822,0,0
593,1906,0,0
594,-14699,0,0
595,19598,0,0
596,-1074,0,0
597,-4910,0,0
598,-3182,0,0
599,3924,0,0
600,-1473,0,0
601,-20308,0,0
602,-6113,0,0
603,7267,0,0
604,-4432,0,0
605,-8848,0,0
606,4774,0,0
607,12717,0,0
608,-3417,0,0
609,17542,0,0
610,-569,0,0
611,16665,0,0
612,186,0,0
613,-14898,0,0
614,12989,0,0
615,-525,0,0
616,-9743,0,0
617,3275,0,0
618,-176,0,0
619,-3478,0,0
620,6499,0,0
621,17497,0,0
622,17132,0,0
623,1575,0,0
624,64,0,0
625,-6060,0,0
626,-9708,0,0
627,8510,0,0
628,16122,0,0
629,8026,0,0
630,-11,0,0
631,4043,0,0
632,-12493,0,0
633,-10922,0,0
634,8912,0,0
635,-5405,0,0
636,2594,0,0
637,-16384,0,0
638,14727,0,0
639,9480,0,0
640,-13616,15000,0
641,17240,0,0
642,5477,0,0
643,-16962,0,0
644,-11922,0,0
645,-19332,0,0
646,-16566,0,0
647,-17552,0,0
648,15137,0,0
649,11578,0,0
650,-8644,0,0
651,-5485,0,0
652,9055,0,0
653,2256,0,0
654,-15637,0,0
655,-16977,0,0
656,-13144,0,0
657,4182,0,0
658,-7075,0,0
659,-13341,0,0
660,15067,0,0
661,16388,0,0
662,13789,0,0
663,9099,0,0
664,4520,0,0
665,15161,0,0
666,-7805,0,0
667,20276,0,0
668,13008,0,0
669,1793,0,0
670,-9659,0,0
671,11058,0,0
672,1944,0,0
673,3980,0,0
674,-4367,0,0
675,3080,0,0
676,2449,0,0
677,11284,0,0
678,-16630,0,0
679,15674,0,0
680,259,0,0
681,18608,0,0
682,-20508,0,0
683,-12641,0,0
684,-2368,0,0
685,12694,0,0
686,-7268,0,0
687,2514,0,0
688,-9887,0,0
689,-22829,0,0
690,15326,0,0
691,-16068,0,0
692,16630,0,0
693,-5198,0,0
694,-11420,0,0
695,-16063,0,0
696,-8584,0,0
697,11277,0,0
698,4683,0,0
699,-17910,0,0
700,23161,0,0
701,8180,0,0
702,-11976,0,0
703,-18065,0,0
704,14964,0,0
705,-10210,0,0
706,-20945,0,0
707,6191,0,0
708,15637,0,0
709,5985,0,0
710,-3568,0,0
711,14822,0,0
712,-17232,0,0
713,-9182,0,0
714,19872,0,0
715,393,0,0
716,21180,0,0
717,-6510,0,0
718,17767,0,0
719,-10037,0,0
720,-5799,0,0
721,2334,0,0
722,3395,0,0
723,1629,0,0
724,-774,0,0
725,-17621,0,0
726,16204,0,0
727,-6449,0,0
728,4367,0,0
729,15515,0,0
730,5478,0,0
731,9581,0,0
732,-1283,0,0
733,3336,0,0
734,-15284,0,0
735,-11837,0,0
736,-6100,0,0
737,-1956,0,0
738,15604,0,0
739,-1997,0,0
740,13685,0,0
741,14821,0,0
742,-10992,0,0
743,6725,0,0
744,-13707,0,0
745,14553,0,0
746,15795,0,0
747,10693,0,0
748,2969,0,0
749,13690,0,0
750,-17682,0,0
751,-16864,0,0
752,-11977,0,0
753,15090,0,0
754,2276,0,0
755,2265,0,0
756,-902,0,0
757,-14654,0,0
758,7188,0,0
759,17732,0,0
760,-7156,0,0
761,20603,0,0
762,1733,0,0
763,5197,0,0
764,-1435,0,0
765,23105,0,0
766,-9795,0,0
767,-6563,0,0
768,10221,0,-15000
769,-3381,0,0
770,-15330,0,0
771,5341,0,0
772,-6601,0,0
773,17438,0,0
774,-8606,0,0
775,-16747,0,0
776,-2843,0,0
777,-236,0,0
778,1378,0,0
779,4384,0,0
780,10901,0,0
781,-6391,0,0
782,10106,0,0
783,-16418,0,0
784,-8517,0,0
785,-9791,0,0
786,5771,0,0
787,-11679,0,0
788,20006,0,0
789,-9340,0,0
790,-1627,0,0
791,1631,0,0
792,13904,0,0
793,9206,0,0
794,10437,0,0
795,19379,0,0
796,-21430,0,0
797,-9023,0,0
798,-3014,0,0
799,8586,0,0
800,20488,0,0
801,6178,0,0
802,-9151,0,0
803,3399,0,0
804,-4534,0,0
805,23106,0,0
806,-3220,0,0
807,-9417,0,0
808,16508,0,0
809,4290,0,0
810,-7673,0,0
811,-6798,0,0
812,7686,0,0
813,15444,0,0
814,-259,0,0
815,-15213,0,0
816,18220,0,0
817,21814,0,0
818,-2692,0,0
819,10884,0,0
820,-19154,0,0
821,-1606,0,0
822,-19903,0,0
823,-1100,0,0
824,-5630,0,0
825,15624,0,0
826,-4521,0,0
827,8965,0,0
828,2973,0,0
829,4023,0,0
830,-3818,0,0
831,4559,0,0
832,15583,0,0
833,-16207,0,0
834,-9114,0,0
835,1820,0,0
836,1224,0,0
837,1059,0,0
838,-569,0,0
839,17167,0,0
840,-17643,0,0
841,3254,0,0
842,12087,0,0
843,4074,0,0
844,22917,0,0
845,-6512,0,0
846,-2411,0,0
847,-3266,0,0
848,-11705,0,0
849,-12252,0,0
850,14760,0,0
851,-4365,0,0
852,16209,0,0
853,16906,0,0
854,2613,0,0
855,-1560,0,0
856,15438,0,0
857,-17288,0,0
858,19872,0,0
859,17349,0,0
860,3317,0,0
861,6523,0,0
862,2847,0,0
863,-11788,0,0
864,11489,0,0
865,-998,0,0
866,-12819,0,0
867,10061,0,0
868,6196,0,0
869,1340,0,0
870,-14918,0,0
871,-3699,0,0
872,-17265,0,0
873,-19560,0,0
874,-16861,0,0
875,13974,0,0
876,12871,0,0
877,-13037,0,0
878,16874,0,0
879,12822,0,0
880,-14,0,0
881,-14106,0,0
882,-7393,0,0
883,-17007,0,0
884,-12390,0,0
885,-15359,0,0
886,10064,0,0
887,8308,0,0
888,-20695,0,0
889,20434,0,0
890,-4099,0,0
891,9843,0,0
892,9388,0,0
893,8818,0,0
894,203,0,0
895,15277,0,0
896,-16938,15000,0
897,13231,0,0
898,-14459,0,0
899,-6556,0,0
900,-3918,0,0
901,-13732,0,0
902,10355,0,0
903,8579,0,0
904,-13936,0,0
905,-7634,0,0
906,-8171,0,0
907,3165,0,0
908,-12107,0,0
909,-16384,0,0
910,-12667,0,0
911,15559,0,0
912,-20583,0,0
913,16745,0,0
914,19923,0,0
915,16027,0,0
916,-156,0,0
917,14948,0,0
918,-9985,0,0
919,-11016,0,0
920,-11748,0,0
921,-18336,0,0
922,4520,0,0
923,-19265,0,0
924,-8298,0,0
925,-5097,0,0
926,16191,0,0
927,-14870,0,0
928,-20428,0,0
929,2327,0,0
930,-10899,0,0
931,-260,0,0
932,13946,0,0
933,5090,0,0
934,11670,0,0
935,-15966,0,0
936,15267,0,0
937,15979,0,0
938,-3177,0,0
939,3080,0,0
940,11737,0,0
941,22994,0,0
942,448,0,0
943,-20056,0,0
944,15803,0,0
945,-5319,0,0
946,-11913,0,0
947,-171,0,0
948,-11114,0,0
949,-19963,0,0
