SampleIdx,F_990Hz,F_992Hz,F_994Hz,F_996Hz,F_998Hz,F_1000Hz,F_1002Hz,F_1004Hz,F_1006Hz,F_1008Hz,F_1010Hz
21024,7195.00,35612.54,23592.11,12613.88,27671.07,108288.88,17348.45,19959.59,32277.19,2020.21,24767.26
21040,6893.10,35200.11,23993.04,12777.11,27705.77,109587.95,17869.44,19410.02,32785.69,2088.58,24165.38
21056,6676.86,34853.38,24291.01,12901.18,27737.49,110597.77,18278.49,18989.07,33146.21,2131.06,23719.73
21072,6501.59,34520.34,24542.42,13008.16,27768.43,111493.28,18643.25,18622.84,33427.72,2156.67,23355.20
21088,6288.98,33901.11,24845.65,13115.48,27907.32,112906.81,19223.39,18053.60,33885.65,2201.74,22800.84
21104,6065.65,33256.68,25221.85,13283.87,27987.67,114444.17,19857.22,17461.27,34246.80,2212.49,22311.88
21120,5910.89,32537.63,25517.94,13403.96,28148.48,116007.01,20507.67,16874.88,34611.65,2225.98,21862.30
21136,5794.64,31715.18,25807.58,13525.03,28353.74,117751.81,21239.20,16245.66,34959.31,2228.05,21451.97
21152,5795.77,30925.25,25917.02,13537.63,28676.84,119311.93,21907.89,15681.41,35343.84,2253.43,21078.81
21168,5878.12,30350.23,25868.81,13466.72,29012.96,120410.69,22393.81,15272.02,35680.98,2289.09,20796.94
21184,6068.47,29971.91,25566.54,13231.47,29481.39,121093.36,22736.01,14947.54,36165.87,2382.54,20428.86
21200,6157.48,29802.15,25436.48,13133.57,29685.75,121438.39,22906.92,14794.13,36354.39,2413.30,20296.05
21216,6399.55,29420.67,25081.10,12875.25,30211.07,122304.12,23344.69,14407.82,36806.01,2481.89,20003.79
21232,6735.09,28844.75,24663.35,12583.28,30889.26,123697.38,24020.76,13864.91,37260.36,2523.15,19782.94
21248,7109.23,28515.86,24090.45,12188.56,31659.67,124823.12,24631.98,13350.26,37853.27,2610.42,19492.43
21264,7484.87,28305.54,23491.79,11782.43,32437.97,125876.11,25229.62,12857.88,38429.30,2696.27,19256.71
21280,7802.22,28370.24,22865.80,11350.14,33188.88,126560.76,25707.92,12432.66,39087.54,2817.71,18970.46
21296,8064.22,28463.66,22342.72,10992.93,33827.77,127195.52,26143.20,12068.94,39586.79,2901.03,18817.22
21312,8301.30,28557.00,21874.91,10678.04,34416.83,127871.14,26582.83,11727.62,39967.58,2951.16,18777.55
21328,8563.27,28790.46,21284.95,10276.21,35160.95,128649.68,27127.39,11308.16,40446.16,3014.06,18767.14
21344,8774.87,29027.15,20784.70,9936.38,35810.58,129375.19,27626.85,10944.28,40799.55,3048.57,18845.49
21360,8883.95,29427.04,20334.51,9607.97,36404.45,129811.23,28039.32,10614.95,41246.46,3115.60,18866.48
21376,8909.96,29900.14,19958.56,9313.91,36924.45,130052.56,28383.07,10322.02,41716.29,3194.59,18874.73
21392,8914.73,30302.85,19660.93,9077.10,37360.11,130298.25,28693.25,10074.53,42057.06,3242.56,18949.30
21408,8848.12,30752.61,19428.21,8866.11,37742.39,130381.34,28957.21,9842.31,42445.93,3305.43,19009.20
21424,8809.70,31065.20,19251.81,8711.73,38039.73,130540.08,29184.86,9667.87,42656.25,3327.20,19117.62
21440,8841.78,31121.96,19162.99,8656.45,38160.27,130752.47,29293.98,9617.07,42605.62,3300.83,19207.34
21456,8896.04,31289.78,18954.83,8521.73,38452.05,131246.41,29554.79,9497.80,42475.96,3235.10,19423.54
21472,8955.53,31373.66,18805.28,8436.95,38640.63,131646.08,29723.31,9443.02,42306.72,3174.45,19567.03
21488,8889.80,31684.25,18638.24,8284.79,38964.98,131988.16,30012.98,9275.03,42295.09,3126.93,19807.41
21504,8818.41,31805.92,18632.68,8246.95,39045.94,131961.78,30092.96,9202.14,42383.96,3130.85,19882.98
21520,8873.66,31856.23,18514.24,8192.84,39161.43,132287.38,30177.07,9210.07,42188.35,3082.38,19922.88
21536,8918.95,31957.68,18364.53,8116.22,39323.75,132688.81,30292.98,9212.78,41957.96,3025.23,19969.08
21552,8821.59,32369.57,18121.94,7909.09,39787.50,133402.05,30695.45,9069.25,41627.80,2901.16,20239.74
21568,8698.35,32961.85,17751.72,7613.92,40455.69,134523.41,31244.07,8926.41,41060.25,2724.32,20532.84
21584,8557.88,33610.83,17356.81,7299.65,41186.36,135790.14,31827.37,8813.17,40389.72,2537.96,20781.61
21600,8422.31,33766.24,17389.98,7240.44,41364.29,135888.77,32053.28,8676.82,40345.38,2484.19,20998.21
21616,8411.00,33611.45,17546.17,7317.76,41210.25,135497.59,31997.11,8618.04,40553.83,2508.01,21087.82
21632,8413.48,33269.00,17870.59,7484.10,40890.28,134698.73,31898.06,8488.72,40964.13,2547.36,21309.80
21648,8353.14,33158.88,18059.95,7537.16,40841.94,134407.34,31999.41,8354.30,41073.68,2522.75,21531.34
21664,8315.90,33071.59,18201.55,7575.71,40817.37,134216.64,32096.20,8249.09,41122.52,2494.67,21706.31
21680,8346.02,32884.26,18362.93,7660.94,40674.88,133856.86,32097.60,8163.40,41265.55,2489.52,21872.79
21696,8388.86,32557.68,18671.62,7803.55,40479.77,133293.47,32196.38,7976.38,41421.89,2447.59,22209.21
21712,8425.30,32360.75,18851.15,7889.60,40366.22,132972.11,32263.90,7865.48,41493.95,2417.95,22407.35
21728,8668.34,31969.18,18984.35,8108.88,39837.44,132033.33,31942.62,7818.63,42008.26,2481.28,22684.08
21744,9020.45,31663.73,18895.07,8359.04,39063.33,130820.67,31229.72,7907.97,42899.51,2652.86,22959.98
21760,9412.12,31532.23,18602.05,8616.45,38147.12,129441.65,30234.60,8101.28,44105.73,2911.29,23314.53
21776,9753.17,31565.75,18235.58,8849.18,37285.60,128132.63,29235.25,8313.84,45356.43,3182.87,23755.74
21792,9910.19,31844.61,17813.63,8948.38,36751.61,127363.62,28423.52,8550.43,46353.80,3426.30,24083.28
21808,9783.48,32516.99,17230.34,8812.14,36694.11,127455.69,27720.56,8921.70,47126.00,3699.36,24142.50
21824,9733.92,32991.73,16810.00,8776.34,36511.77,127232.16,27142.36,9156.03,47841.48,3898.83,24379.95
21840,9894.56,33124.60,16604.18,8961.99,35954.66,126238.47,26666.96,9156.43,48537.15,3975.08,24916.03
21856,9971.61,33268.42,16444.02,9072.52,35605.69,125604.52,26353.17,9158.09,48993.30,4021.37,25279.86
21872,9908.30,33468.97,16297.18,9038.27,35586.75,125573.10,26167.71,9234.12,49243.42,4084.03,25406.12
21888,9795.60,33796.21,16063.99,8983.71,35552.92,125498.91,25875.07,9342.62,49643.54,4173.50,25635.42
21904,9695.30,34257.09,15725.51,9004.71,35284.16,124953.41,25426.86,9400.23,50259.37,4242.82,26110.82
21920,9673.28,34500.95,15545.57,9072.28,35022.42,124428.49,25195.95,9368.43,50562.93,4237.03,26402.37
21936,9643.11,34757.29,15364.37,9147.43,34744.28,123860.45,24983.02,9314.09,50826.34,4210.34,26677.16
21952,9617.25,34921.32,15252.89,9193.24,34574.58,123508.52,24864.34,9272.83,50961.81,4185.32,26826.07
21968,9729.45,34731.00,15379.05,9266.97,34520.39,123465.42,25038.87,9205.91,50711.29,4141.96,26650.78
21984,9775.58,34762.55,15363.34,9371.69,34306.70,123077.23,25089.41,9097.07,50578.64,4068.29,26594.27
22000,9747.62,34924.77,15263.23,9443.32,34093.47,122644.62,25045.97,9003.08,50555.96,3999.55,26615.47
22016,9841.09,34909.22,15295.29,9612.51,33810.49,122184.27,25230.48,8845.70,50212.64,3901.61,26386.41
22032,9852.29,34983.55,15262.03,9702.12,33624.23,121850.17,25295.11,8749.50,50049.08,3839.00,26278.11
22048,9733.68,35334.89,15053.51,9795.33,33287.88,121134.06,25243.11,8581.91,49920.89,3713.41,26196.27
22064,9693.50,35530.45,14955.14,9909.52,33014.37,120620.23,25316.18,8443.15,49685.99,3624.72,26024.86
22080,9796.76,35389.44,15067.23,9981.73,32998.77,120714.14,25475.51,8446.18,49540.19,3650.41,25930.18
22096,9978.02,35159.01,15266.59,10126.23,32961.03,120891.59,25779.31,8461.68,49283.52,3712.03,25777.54
22112,10187.53,34932.68,15496.11,10333.13,32877.12,121070.00,26174.69,8482.64,48968.53,3799.11,25612.17
22128,10345.12,34865.10,15663.34,10617.53,32646.54,121023.06,26656.10,8457.25,48524.75,3879.67,25376.72
22144,10396.36,35026.68,15712.96,10957.17,32250.72,120667.19,27191.43,8368.11,47946.79,3940.19,25059.39
22160,10297.36,35393.30,15596.00,11229.90,31791.11,120030.73,27607.95,8216.58,47361.34,3945.78,24704.92
22176,10200.46,35701.88,15492.25,11435.62,31442.64,119555.38,27928.42,8114.07,46939.18,3966.11,24472.17
22192,10085.90,36055.57,15381.34,11674.06,31063.23,119078.56,28310.67,8027.04,46502.88,4019.60,24273.08
22208,10018.97,36475.64,15382.82,12132.50,30602.14,118849.81,29013.25,8066.14,46098.38,4236.03,24292.62
22224,9713.41,37272.37,15096.14,12576.24,29865.22,117912.96,29768.65,7942.31,45345.33,4400.80,24067.31
22240,9305.39,38152.63,14655.65,12902.31,29084.95,116640.77,30423.76,7729.24,44478.55,4514.15,23727.16
22256,8725.84,39355.51,14002.03,13285.19,28036.03,114816.44,31292.64,7436.88,43306.04,4688.57,23310.44
22272,8354.82,40062.48,13529.63,13422.76,27389.59,113482.38,31769.38,7197.99,42483.37,4776.76,22975.37
22288,8082.86,40495.80,13097.94,13378.09,26913.47,112185.36,32028.46,6918.04,41687.88,4799.79,22563.58
22304,7891.29,40822.62,12788.95,13372.27,26551.16,111261.83,32278.07,6744.54,41137.20,4858.74,22350.54
22320,7716.20,41180.15,12550.04,13466.71,26209.13,110628.20,32609.38,6684.26,40807.62,4977.73,22368.57
22336,7541.23,41534.81,12285.93,13549.28,25841.57,109916.55,32972.32,6621.42,40457.10,5116.80,22418.97
22352,7509.95,41583.22,12199.25,13528.57,25739.11,109617.09,33060.18,6571.82,40285.29,5153.97,22392.18
22368,7444.31,41720.95,12085.90,13563.84,25578.85,109321.16,33232.16,6560.43,40169.66,5225.92,22464.70
22384,7534.28,41487.38,12072.43,13389.80,25607.08,108955.66,33165.93,6425.73,39847.07,5223.88,22289.05
22400,7461.80,41659.22,12024.93,13487.23,25524.16,109011.17,33266.36,6488.95,39969.48,5248.92,22402.02
22416,7363.25,41898.24,12014.88,13642.29,25490.38,109319.72,33309.43,6598.95,40243.86,5231.59,22504.06
22432,7321.57,42002.82,12090.72,13732.06,25593.33,109757.25,33187.45,6664.17,40468.49,5153.89,22450.61
22448,7234.40,42213.88,12000.30,13846.99,25462.30,109781.70,33328.43,6748.69,40643.63,5176.77,22583.76
22464,7191.72,42335.34,11763.77,13887.39,25110.77,109200.16,33742.88,6809.92,40660.44,5327.77,22922.11
22480,7182.91,42405.09,11500.65,13910.90,24707.37,108500.67,34233.44,6889.75,40709.90,5501.91,23327.98
22496,7282.87,42284.09,11149.19,13842.47,24124.60,107250.38,35001.59,6981.39,40704.78,5801.16,23985.59
22512,7397.52,42185.43,10785.92,13816.00,23508.00,106064.40,35823.57,7141.05,40874.26,6083.45,24670.79
22528,7443.15,42285.96,10415.72,13926.93,22911.85,105302.11,36561.12,7391.84,41327.62,6250.51,25202.53
22544,7453.19,42395.63,10207.46,14029.01,22590.14,105017.74,36932.57,7555.10,41659.18,6298.81,25421.76
22560,7297.67,42887.32,9980.41,14337.97,22360.82,105457.65,37020.02,7755.51,42172.11,6153.23,25264.74
22576,7179.82,43266.60,9822.25,14575.74,22223.08,105864.91,37024.44,7888.14,42520.04,6023.69,25079.77
22592,7168.11,43386.16,9713.35,14677.89,22084.69,105930.83,37123.69,7983.12,42746.45,5975.86,25034.65
22608,7277.58,43251.55,9598.28,14676.93,21837.95,105595.20,37444.61,8119.98,43042.61,5993.53,25149.62
22624,7446.85,42976.62,9501.64,14617.29,21559.21,105085.05,37856.74,8276.36,43377.46,6032.27,25313.24
22640,7665.31,42503.22,9497.87,14432.80,21327.00,104318.84,38341.63,8413.10,43661.58,6132.10,25594.82
22656,7996.16,41645.69,9634.90,14025.08,21103.54,102977.42,39080.02,8573.53,43986.72,6346.63,26124.79
22672,8263.27,40963.09,9746.75,13713.11,20901.53,101919.23,39710.30,8746.51,44357.16,6485.51,26479.48
22688,8334.14,40722.32,9828.83,13574.05,20882.37,101518.61,39917.35,8787.93,44446.93,6553.83,26636.33
22704,8382.16,40496.17,9935.92,13421.00,20894.75,101106.83,40117.38,8821.93,44525.48,6628.87,26802.21
22720,8476.62,40264.38,9961.19,13337.30,20785.75,100799.16,40347.48,8920.55,44749.46,6617.04,26792.20
22736,8643.94,39990.23,9893.33,13330.74,20529.71,100626.67,40595.80,9085.33,45110.53,6500.81,26566.21
22752,8803.45,39569.98,9952.10,13181.85,20323.42,100106.11,41008.62,9281.89,45554.45,6435.10,26438.87
22768,8850.49,39358.66,10033.46,13060.99,20268.90,99746.22,41247.58,9377.36,45778.79,6426.94,26420.25
22784,8902.48,39171.15,10085.47,12976.13,20192.61,99488.02,41440.72,9468.12,45983.12,6392.24,26344.55
22800,9051.09,38852.15,10074.93,12936.39,19963.88,99333.45,41648.38,9611.89,46267.99,6264.01,26079.21
22816,9225.18,38365.21,10136.69,12807.27,19669.93,98944.27,42031.97,9843.65,46736.45,6087.29,25703.05
22832,9418.08,37830.37,10200.59,12683.56,19335.24,98599.09,42406.09,10084.67,47193.87,5884.58,25276.38
22848,9639.42,37252.69,10247.58,12590.10,18947.63,98378.77,42722.35,10316.82,47583.83,5658.42,24814.32
22864,9761.54,36844.63,10327.92,12483.78,18690.74,98133.02,42996.37,10499.85,47894.52,5496.73,24479.65
22880,9787.22,36573.48,10455.66,12339.36,18543.97,97779.19,43293.38,10668.48,48207.72,5375.13,24215.15
22896,9782.46,36444.09,10537.67,12250.34,18473.33,97563.31,43467.07,10765.02,48385.57,5306.63,24065.91
22912,9762.59,36347.89,10618.55,12164.88,18420.00,97358.34,43625.79,10851.23,48542.65,5246.85,23936.51
22928,9796.11,36344.96,10574.80,12212.04,18416.11,97488.90,43536.75,10807.76,48450.49,5272.82,23999.66
22944,9937.21,36352.05,10385.42,12418.05,18426.88,98038.80,43154.41,10615.41,48066.91,5399.57,24288.36
22960,10111.57,36380.40,10153.36,12673.66,18476.70,98682.16,42703.08,10383.04,47642.19,5567.62,24640.24
22976,10271.68,36466.51,9927.21,12922.54,18589.08,99235.60,42308.35,10173.06,47321.04,5735.09,24946.72
22992,10385.13,36582.28,9755.58,13109.27,18727.38,99581.55,42057.92,10035.15,47171.31,5855.42,25126.45
23008,10498.11,36639.04,9611.76,13269.86,18831.80,99880.23,41851.28,9924.71,47063.79,5951.55,25256.34
23024,10713.06,36423.43,9437.47,13498.21,18788.37,100535.62,41425.57,9715.29,46696.90,6118.05,25562.30
23040,10940.96,35995.62,9306.31,13711.58,18600.01,101352.16,40904.15,9465.48,46165.06,6316.44,25974.49
23056,11221.11,35570.38,9120.03,14002.08,18478.87,102285.85,40315.47,9182.75,45672.79,6551.72,26376.03
23072,11520.29,34914.84,8965.73,14316.18,18226.62,103501.27,39555.46,8821.68,44991.30,6863.58,26918.57
23088,11959.15,34245.62,8684.62,14808.11,18125.48,104938.92,38694.99,8423.52,44471.20,7210.03,27342.93
23104,12468.78,33373.34,8389.18,15406.16,17990.26,106720.95,37660.09,7957.99,43914.86,7628.68,27786.16
23120,12931.58,32429.47,8161.82,15990.88,17813.64,108565.44,36617.70,7502.51,43394.89,8055.95,28186.80
23136,13244.26,31435.09,8080.37,16470.50,17507.20,110433.27,35563.30,7045.88,42789.46,8513.36,28643.63
23152,13403.15,30598.72,8104.12,16808.65,17181.79,112015.40,34673.44,6664.56,42251.02,8916.41,29042.11
23168,13477.67,30222.47,8109.73,16981.66,17062.79,112736.52,34286.30,6507.40,42091.62,9077.01,29139.32
23184,13530.77,30006.46,8100.88,17099.42,17021.09,113142.20,34082.72,6431.55,42067.95,9144.94,29128.98
23200,13602.75,29933.64,8053.22,17184.67,17072.73,113231.61,34065.56,6437.38,42171.88,9120.90,29032.79
23216,13719.00,29735.54,7982.31,17361.14,17142.54,113509.12,33981.26,6431.62,42369.27,9084.09,28833.23
23232,13871.54,29312.39,7902.81,17674.97,17208.67,114148.58,33756.87,6395.26,42691.23,9040.19,28485.61
23248,14116.51,28974.01,7741.95,18017.58,17425.27,114428.67,33777.31,6474.41,43194.30,8870.38,28055.64
23264,14319.24,28421.78,7625.05,18463.14,17595.96,115102.73,33644.85,6522.01,43805.36,8696.08,27496.39
23280,14458.60,27826.68,7555.03,18916.29,17732.92,115897.48,33473.23,6567.85,44449.78,8515.70,26910.13
23296,14315.48,27326.62,7683.50,19182.91,17602.90,117051.53,33015.15,6476.29,44844.47,8481.94,26418.25
23312,13955.91,27004.02,7965.81,19258.40,17262.93,118420.40,32348.23,6279.32,45042.23,8563.56,25984.58
23328,13570.68,26826.90,8266.68,19254.52,16908.19,119671.08,31719.89,6091.71,45205.71,8648.47,25586.96
23344,13041.99,26707.49,8689.14,19205.24,16429.91,121311.53,30903.70,5861.70,45477.50,8739.10,25019.90
23360,12428.03,26777.13,9201.18,19040.52,15847.89,123100.78,29978.12,5596.13,45746.23,8864.19,24398.30
23376,11875.99,26857.86,9682.67,18933.18,15353.00,124803.47,29174.33,5410.13,46175.69,8902.13,23739.82
23392,11333.47,26729.05,10159.61,19062.58,15010.75,126661.44,28530.73,5382.81,47043.63,8724.64,22939.93
23408,10673.54,26560.43,10763.83,19310.96,14669.97,128973.36,27862.04,5451.46,48319.29,8397.92,21962.69
23424,9978.34,26559.95,11452.13,19515.92,14291.61,131440.89,27176.34,5556.32,49714.00,8041.37,20981.49
23440,9333.71,26680.20,12139.08,19692.81,13944.19,133783.47,26580.76,5703.05,51090.51,7680.08,20127.87
23456,8797.20,26948.17,12768.07,19775.87,13609.96,135851.16,26054.84,5843.36,52307.70,7368.69,19428.30
23472,8386.74,27425.69,13329.88,19676.47,13218.10,137683.78,25489.42,5917.05,53317.48,7152.55,18801.46
23488,8089.03,27908.11,13796.47,19550.17,12876.45,139225.84,25015.99,5991.87,54195.16,6960.92,18301.65
23504,8058.85,28253.91,13937.80,19328.04,12643.36,139803.53,24692.25,5941.73,54466.26,6954.29,18017.89
23520,8005.24,28292.49,14010.42,19352.84,12626.08,140010.16,24677.27,5979.96,54603.47,6905.13,17997.95
23536,7957.64,28279.38,14058.35,19410.78,12647.38,140104.56,24718.96,6022.77,54674.32,6864.25,18035.18
23552,7883.58,28392.73,14184.82,19426.24,12603.40,140471.58,24690.79,6090.84,54903.15,6778.03,18030.55
23568,7780.91,28614.51,14393.22,19428.06,12516.91,141099.48,24636.10,6205.60,55286.77,6633.67,18038.48
23584,7652.24,29125.47,14777.48,19351.87,12303.70,142367.25,24484.32,6423.09,56052.09,6356.17,18065.06
23600,7531.99,29745.46,15229.61,19270.53,12071.47,143835.12,24358.62,6700.73,56904.04,6041.30,18191.87
23616,7489.12,30242.88,15554.28,19177.10,11884.63,144946.16,24261.97,6913.14,57531.38,5814.35,18321.82
23632,7446.96,30643.89,15838.29,19145.64,11768.73,145819.22,24261.73,7111.13,57970.48,5642.26,18522.00
23648,7464.22,31049.01,16076.54,19057.00,11625.17,146684.55,24220.93,7294.37,58412.53,5479.83,18708.91
23664,7592.52,31380.79,16167.86,18832.54,11412.72,147479.31,24027.34,7415.86,58927.42,5320.18,18777.79
23680,7800.87,31737.82,16212.40,18504.72,11127.02,148449.27,23741.84,7558.32,59601.84,5118.58,18865.05
23696,7948.62,31896.20,16186.69,18281.80,10946.37,148990.92,23536.84,7630.88,60025.65,4997.49,18904.50
23712,8054.62,32023.87,16184.38,18128.74,10818.49,149430.80,23417.51,7706.45,60324.05,4908.06,18988.79
23728,8224.21,32079.40,16078.89,17869.30,10621.71,149957.17,23169.17,7780.58,60801.61,4774.64,19060.61
23744,8389.05,32236.10,16061.23,17647.33,10440.88,150610.88,23029.26,7908.55,61186.96,4660.08,19242.22
23760,8598.09,32679.34,16239.17,17454.50,10257.05,151644.45,23098.48,8157.42,61400.96,4582.96,19629.30
23776,8837.93,33054.93,16353.68,17216.05,10048.96,152702.28,23127.43,8408.31,61651.82,4505.26,20017.00
23792,9022.71,33278.63,16398.78,17022.13,9888.28,153472.22,23132.13,8590.31,61838.89,4453.65,20296.03
23808,9093.71,33271.54,16342.67,16905.27,9799.08,153775.59,23056.28,8658.80,62022.44,4405.34,20413.04
23824,9063.52,32999.56,16138.95,16801.96,9727.96,153770.97,22813.79,8655.50,62398.58,4304.13,20467.84
23840,9040.23,32809.90,15997.61,16726.09,9673.51,153804.94,22647.98,8667.10,62667.70,4233.26,20534.51
23856,9001.65,32723.18,15949.38,16731.28,9677.72,153711.34,22580.69,8648.97,62765.17,4206.15,20535.43
23872,8832.10,32382.34,15765.95,16767.43,9701.88,153324.00,22301.24,8583.07,63191.49,4088.68,20574.38
23888,8667.73,32157.30,15672.41,16869.55,9773.76,152841.98,22099.88,8494.99,63498.23,4001.45,20568.89
23904,8560.95,31930.93,15540.79,16863.85,9760.63,152733.78,21900.41,8502.72,63836.03,3916.09,20694.16
23920,8325.48,31655.80,15433.24,17023.13,9862.14,152103.53,21583.16,8419.76,64382.77,3769.89,20816.99
23936,8122.62,31525.13,15425.65,17249.19,10015.22,151351.94,21334.32,8305.52,64840.34,3644.43,20894.71
23952,7989.88,31411.14,15393.42,17367.84,10088.45,150968.47,21140.55,8270.60,65201.59,3553.58,21020.05
23968,7913.34,31403.56,15421.50,17490.81,10171.19,150603.62,21028.87,8222.21,65429.90,3493.30,21084.92
23984,7771.78,31355.82,15440.82,17685.41,10292.59,150056.62,20781.42,8183.38,65924.91,3373.39,21295.42
24000,7577.23,31467.89,15610.11,18145.65,10597.78,148811.91,20366.35,8066.03,66836.62,3152.56,21675.16
