SampleIdx,F_990Hz,F_992Hz,F_994Hz,F_996Hz,F_998Hz,F_1000Hz,F_1002Hz,F_1004Hz,F_1006Hz,F_1008Hz,F_1010Hz
18208,15289.88,65168.98,26009.14,4957.28,13317.43,111998.11,14636.85,19611.49,26736.79,2873.29,26929.26
18224,15448.24,64648.25,26335.60,5128.79,13506.41,112760.78,14856.74,20010.02,27103.78,2769.30,27358.04
18240,15430.83,64415.68,26497.43,5366.22,13579.52,113291.25,15203.85,20387.53,27389.76,2700.45,27755.54
18256,15462.39,64144.57,26696.42,5541.18,13706.87,113886.58,15414.68,20734.48,27721.26,2610.39,28152.74
18272,15633.35,63568.30,27107.54,5715.96,14000.52,114919.97,15524.31,21200.60,28260.75,2453.16,28690.27
18288,15772.32,63077.98,27474.61,5870.23,14275.17,115861.41,15590.07,21605.69,28749.04,2312.93,29143.10
18304,15820.19,62820.40,27689.65,5987.35,14447.91,116480.61,15644.29,21879.50,29078.16,2220.90,29437.45
18320,15849.24,62671.92,27815.58,6045.62,14551.52,116828.17,15649.70,22013.70,29248.04,2173.59,29563.05
18336,15844.97,62644.77,27846.72,6068.12,14582.03,116940.66,15654.42,22059.34,29305.09,2157.91,29601.40
18352,15743.69,62823.18,27748.23,6108.10,14530.08,116903.80,15749.46,22125.53,29360.41,2143.67,29710.03
18368,15807.53,62539.02,27987.26,6171.91,14726.29,117454.14,15655.28,22241.07,29532.18,2098.25,29706.67
18384,15837.65,62195.20,28325.78,6306.11,15029.87,118358.45,15539.91,22456.15,29829.58,2025.32,29712.92
18400,15825.97,61926.50,28634.05,6449.89,15325.38,119245.53,15426.41,22656.31,30100.49,1966.27,29671.13
18416,15886.24,61545.14,28998.78,6541.83,15630.75,120002.66,15224.70,22710.21,30196.47,1960.17,29446.38
18432,16019.97,61043.54,29423.64,6583.65,15942.09,120615.00,14947.06,22621.38,30118.61,2005.04,29074.39
18448,16157.57,60582.22,29800.16,6594.81,16195.87,121021.17,14688.24,22468.87,29953.16,2071.36,28710.20
18464,16260.01,60280.33,30031.05,6581.83,16331.96,121167.20,14527.70,22331.63,29796.04,2124.73,28489.29
18480,16468.20,59907.03,30211.77,6472.35,16342.95,120851.19,14411.04,22089.39,29517.16,2190.85,28383.32
18496,16815.16,59247.46,30555.98,6298.17,16379.15,120329.90,14219.42,21684.90,29054.62,2299.48,28258.20
18512,17199.75,58651.64,30781.36,6078.42,16277.50,119485.31,14161.26,21342.01,28680.09,2365.81,28389.70
18528,17485.12,58112.32,31061.33,5932.15,16274.37,118947.03,14065.95,21046.52,28356.67,2432.00,28457.62
18544,17743.03,57773.34,31141.27,5781.84,16134.89,118283.13,14133.35,20930.80,28260.32,2425.41,28726.32
18560,18064.21,57312.50,31284.21,5602.53,15982.08,117484.70,14216.00,20799.08,28163.13,2412.12,29073.64
