0, 0
1, 804
2, 1607
3, 2410
4, 3211
5, 4010
6, 4807
7, 5601
8, 6391
9, 7178
10, 7960
11, 8738
12, 9510
13, 10276
14, 11037
15, 11790
16, 12537
17, 13276
18, 14007
19, 14729
20, 15443
21, 16147
22, 16842
23, 17527
24, 18200
25, 18863
26, 19515
27, 20155
28, 20783
29, 21398
30, 22000
31, 22589
32, 23165
33, 23726
34, 24274
35, 24806
36, 25324
37, 25826
38, 26313
39, 26784
40, 27239
41, 27677
42, 28099
43, 28504
44, 28892
45, 29262
46, 29615
47, 29950
48, 30266
49, 30565
50, 30845
51, 31107
52, 31349
53, 31573
54, 31778
55, 31964
56, 32131
57, 32278
58, 32405
59, 32514
60, 32602
61, 32671
62, 32721
63, 32750
64, 32760
65, 32750
66, 32721
67, 32671
68, 32602
69, 32514
70, 32405
71, 32278
72, 32131
73, 31964
74, 31778
75, 31573
76, 31349
77, 31107
78, 30845
79, 30565
80, 30266
81, 29950
82, 29615
83, 29262
84, 28892
85, 28504
86, 28099
87, 27677
88, 27239
89, 26784
90, 26313
91, 25826
92, 25324
93, 24806
94, 24274
95, 23726
96, 23165
97, 22589
98, 22000
99, 21398
100, 20783
101, 20155
102, 19515
103, 18863
104, 18200
105, 17527
106, 16842
107, 16147
108, 15443
109, 14729
110, 14007
111, 13276
112, 12537
113, 11790
114, 11037
115, 10276
116, 9510
117, 8738
118, 7960
119, 7178
120, 6391
121, 5601
122, 4807
123, 4010
124, 3211
125, 2410
126, 1607
127, 804
128, 0
129, -804
130, -1607
131, -2410
132, -3211
133, -4010
134, -4807
135, -5601
136, -6391
137, -7178
138, -7960
139, -8738
140, -9510
141, -10276
142, -11037
143, -11790
144, -12537
145, -13276
146, -14007
147, -14729
148, -15443
149, -16147
150, -16842
151, -17527
152, -18200
153, -18863
154, -19515
155, -20155
156, -20783
157, -21398
158, -22000
159, -22589
160, -23165
161, -23726
162, -24274
163, -24806
164, -25324
165, -25826
166, -26313
167, -26784
168, -27239
169, -27677
170, -28099
171, -28504
172, -28892
173, -29262
174, -29615
175, -29950
176, -30266
177, -30565
178, -30845
179, -31107
180, -31349
181, -31573
182, -31778
183, -31964
184, -32131
185, -32278
186, -32405
187, -32514
188, -32602
189, -32671
190, -32721
191, -32750
192, -32760
193, -32750
194, -32721
195, -32671
196, -32602
197, -32514
198, -32405
199, -32278
200, -32131
201, -31964
202, -31778
203, -31573
204, -31349
205, -31107
206, -30845
207, -30565
208, -30266
209, -29950
210, -29615
211, -29262
212, -28892
213, -28504
214, -28099
215, -27677
216, -27239
217, -26784
218, -26313
219, -25826
220, -25324
221, -24806
222, -24274
223, -23726
224, -23165
225, -22589
226, -22000
227, -21398
228, -20783
229, -20155
230, -19515
231, -18863
232, -18200
233, -17527
234, -16842
235, -16147
236, -15443
237, -14729
238, -14007
239, -13276
240, -12537
241, -11790
242, -11037
243, -10276
244, -9510
245, -8738
246, -7960
247, -7178
248, -6391
249, -5601
250, -4807
251, -4010
252, -3211
253, -2410
254, -1607
255, -804
